시군구,번지,본번,부번,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,거래유형
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,2,"5,850",9,2000,태장공단길 10,중개거래
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,5,"5,500",4,2000,태장공단길 10,중개거래
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,15,"5,900",2,2000,태장공단길 10,중개거래
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,16,"6,100",6,2000,태장공단길 10,중개거래
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,20,"5,800",9,2000,태장공단길 10,중개거래
강원도 원주시 태장동,1836,1836,0,백운3차,49.29,202209,21,"6,300",7,2000,태장공단길 10,중개거래
강원도 원주시 태장동,551,551,0,삼정백조,49.77,202209,22,"8,500",3,1997,흥양로102번길 22,중개거래
강원도 원주시 태장동,551,551,0,삼정백조,49.77,202209,23,"7,900",4,1997,흥양로102번길 22,중개거래
강원도 원주시 태장동,549,549,0,상록,46.865,202209,20,"4,500",5,1989,흥양로102번길 18,중개거래
강원도 원주시 태장동,971,971,0,상록아파트,56.34,202209,19,"5,500",2,1992,현충로 234,중개거래
강원도 원주시 태장동,891-1,891,1,영진2,59.94,202209,19,"7,000",8,1993,현충로 155,직거래
강원도 원주시 태장동,891-1,891,1,영진2,59.94,202209,24,"8,500",10,1993,현충로 155,중개거래
강원도 원주시 태장동,891-1,891,1,영진2,59.94,202209,30,"7,300",10,1993,현충로 155,중개거래
강원도 원주시 태장동,2717,2717,0,요진보네르카운티2차,84.98,202209,3,"25,000",10,2007,현충로 295,중개거래
강원도 원주시 태장동,2717,2717,0,요진보네르카운티2차,84.98,202209,12,"27,000",21,2007,현충로 295,중개거래
강원도 원주시 태장동,2717,2717,0,요진보네르카운티2차,75.02,202209,14,"20,400",9,2007,현충로 295,중개거래
강원도 원주시 태장동,2210,2210,0,우성1,84.97,202209,20,"11,500",5,1990,적동1길 7,중개거래
강원도 원주시 태장동,2210,2210,0,우성1,72.94,202209,21,"8,200",3,1990,적동1길 7,중개거래
강원도 원주시 태장동,2793,2793,0,이안원주태장,84.94,202209,12,"31,700",9,2019,흥양로51번길 40,중개거래
강원도 원주시 태장동,2793,2793,0,이안원주태장,84.94,202209,22,"29,500",20,2019,흥양로51번길 40,중개거래
강원도 원주시 태장동,2793,2793,0,이안원주태장,75.88,202209,26,"27,700",16,2019,흥양로51번길 40,중개거래
강원도 원주시 태장동,548,548,0,정암,41.31,202209,11,"4,500",1,1988,흥양로 98,중개거래
강원도 원주시 태장동,1037-2,1037,2,진우,63,202209,14,"7,000",4,1990,현충로 280,중개거래
강원도 원주시 태장동,1037-2,1037,2,진우,63,202209,19,"7,400",5,1990,현충로 280,중개거래
강원도 원주시 태장동,1266-6,1266,6,태봉우성2,73.29,202209,17,"9,600",13,1992,현충로 304,중개거래
강원도 원주시 태장동,1266-6,1266,6,태봉우성2,73.29,202209,19,"10,000",2,1992,현충로 304,중개거래
강원도 원주시 태장동,128-1,128,1,태장동보렉스(7차),84.81,202209,3,"12,900",11,1995,치악로 2035,중개거래
강원도 원주시 태장동,128-1,128,1,태장동보렉스(7차),71.46,202209,3,"10,000",7,1995,치악로 2035,중개거래
강원도 원주시 태장동,128-1,128,1,태장동보렉스(7차),84.81,202209,3,"13,300",16,1995,치악로 2035,중개거래
강원도 원주시 태장동,128-1,128,1,태장동보렉스(7차),71.46,202209,6,"12,500",17,1995,치악로 2035,중개거래
강원도 원주시 태장동,128-1,128,1,태장동보렉스(8차),59.88,202209,14,"10,200",11,1997,치악로 2033,중개거래
강원도 원주시 태장동,129,129,0,태장동성호아파트,49.995,202209,1,"7,400",7,1998,치악로 2047,중개거래
강원도 원주시 태장동,129,129,0,태장동성호아파트,59.815,202209,3,"8,300",10,1998,치악로 2047,중개거래
강원도 원주시 태장동,129,129,0,태장동성호아파트,49.995,202209,8,"7,600",2,1998,치악로 2047,중개거래
강원도 원주시 태장동,129,129,0,태장동성호아파트,49.995,202209,19,"9,250",5,1998,치악로 2047,중개거래
강원도 원주시 태장동,129,129,0,태장동성호아파트,49.995,202209,23,"7,500",12,1998,치악로 2047,중개거래
강원도 원주시 태장동,2705,2705,0,태장주공1단지,84.73,202209,8,"14,000",13,1997,흥양로51번길 22,중개거래
강원도 원주시 태장동,2705,2705,0,태장주공1단지,84.73,202209,21,"14,000",1,1997,흥양로51번길 22,중개거래
강원도 원주시 태장동,2708,2708,0,태장주공2,59.67,202209,4,"12,000",3,1997,흥양로51번길 18,중개거래
강원도 원주시 태장동,2708,2708,0,태장주공2,59.67,202209,5,"13,400",13,1997,흥양로51번길 18,중개거래
강원도 원주시 태장동,2708,2708,0,태장주공2,59.67,202209,26,"12,000",15,1997,흥양로51번길 18,중개거래
강원도 원주시 태장동,2708,2708,0,태장주공2,59.67,202209,27,"10,600",1,1997,흥양로51번길 18,중개거래
강원도 원주시 태장동,2708,2708,0,태장주공3,39.44,202209,25,"7,600",4,1997,흥양로51번길 16,중개거래
강원도 원주시 태장동,682,682,0,현대,59.445,202209,6,"10,500",7,1995,현충로58번길 29,중개거래
강원도 원주시 태장동,682,682,0,현대,59.445,202209,13,"9,900",1,1995,현충로58번길 29,중개거래
강원도 원주시 태장동,2716,2716,0,흥화브라운빌,84.9728,202209,13,"21,000",7,2006,현충로58번길 21,중개거래
강원도 원주시 판부면 서곡리,592,592,0,거장2차아파트,27.36,202209,5,"7,000",13,2002,남원로 223,중개거래
강원도 원주시 판부면 서곡리,592,592,0,거장2차아파트,39.06,202209,6,"10,350",4,2002,남원로 223,중개거래
강원도 원주시 판부면 서곡리,592,592,0,거장2차아파트,39.06,202209,24,"10,300",14,2002,남원로 223,중개거래
강원도 원주시 학성동,1032-9,1032,9,삼천리2,56.05,202209,3,"11,700",6,1993,학성길 54,중개거래
강원도 원주시 학성동,1032-9,1032,9,삼천리2,76.7325,202209,15,"13,200",8,1993,학성길 54,중개거래
강원도 원주시 학성동,1056-1,1056,1,영진로얄맨션,84.78,202209,18,"13,000",11,1991,남산로218번길 42,중개거래
강원도 원주시 행구동,1850,1850,0,건영,59.79,202209,17,"9,500",3,1996,행구로 287,중개거래
강원도 원주시 행구동,1850,1850,0,건영,167.73,202209,19,"29,000",6,1996,행구로 287,직거래
강원도 원주시 행구동,1850,1850,0,건영,59.79,202209,20,"9,500",1,1996,행구로 287,중개거래
강원도 원주시 행구동,1850,1850,0,건영,59.93,202209,22,"13,000",15,1996,행구로 287,중개거래
강원도 원주시 행구동,1850,1850,0,건영,84.5,202209,28,"17,500",16,1996,행구로 287,중개거래
강원도 원주시 행구동,1850,1850,0,건영,59.93,202209,30,"8,900",2,1996,행구로 287,직거래
강원도 원주시 행구동,1815-1,1815,1,행구금강아미움아파트,84.9,202209,5,"24,000",4,2007,행구로 140,중개거래
강원도 원주시 행구동,1815-1,1815,1,행구금강아미움아파트,84.9,202209,22,"25,700",7,2007,행구로 140,중개거래
강원도 원주시 행구동,1658-4,1658,4,현대,84.97,202209,13,"16,300",8,1997,행구로 216,중개거래
강원도 원주시 행구동,1851,1851,0,효성백년가약,108.23,202209,27,"27,500",14,2009,번재길 32,중개거래
강원도 원주시 행구동,1851,1851,0,효성백년가약,84.935,202209,28,"25,000",11,2009,번재길 32,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,25.92,202209,22,"4,650",8,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,25.92,202209,22,"4,650",9,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,25.92,202209,22,"4,650",10,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,25.92,202209,28,"4,380",1,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,25.92,202209,30,"4,650",12,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1934,1934,0,청솔,59.85,202209,30,"9,800",6,2000,세동길 51,중개거래
강원도 원주시 흥업면 매지리,1928,1928,0,현대,34.38,202209,22,"6,000",7,1995,세동길 13,중개거래
강원도 원주시 흥업면 사제리,337,337,0,거장,32.67,202209,24,"2,800",3,1999,사제로 483,중개거래
강원도 원주시 흥업면 사제리,337,337,0,거장,32.67,202209,26,"3,400",5,1999,사제로 483,직거래
강원도 원주시 흥업면 흥업리,1827,1827,0,남원주두산위브,84.7464,202209,6,"26,000",11,2009,북원로 1600,중개거래
강원도 원주시 흥업면 흥업리,1827,1827,0,남원주두산위브,136.6981,202209,8,"41,500",12,2009,북원로 1600,중개거래
강원도 원주시 흥업면 흥업리,1827,1827,0,남원주두산위브,84.8613,202209,8,"23,300",3,2009,북원로 1600,중개거래
강원도 원주시 흥업면 흥업리,86,86,0,흥업경동아파트,39.698,202209,29,"6,500",5,2000,울업1길 33,중개거래
강원도 인제군 남면 신남리,380-2,380,2,대삼아파트,59.93,202209,14,"7,500",2,1992,신남로94번길 13,직거래
강원도 인제군 북면 원통리,664,664,0,꿈의궁전아파트,38.85,202209,7,"5,500",14,2002,원통로211번길 13,직거래
강원도 인제군 북면 원통리,664,664,0,꿈의궁전아파트,38.85,202209,14,"5,500",13,2002,원통로211번길 13,직거래
강원도 인제군 북면 원통리,604-3,604,3,미진원통아파트,80.91,202209,8,"9,200",8,1991,금강로 92,직거래
강원도 인제군 북면 원통리,665,665,0,현대에코캐슬,75.13,202209,5,"22,170",3,2022,원통로211번길 13-1,직거래
강원도 인제군 인제읍 남북리,832,832,0,인제대희지센트,84.487,202209,7,"20,000",13,2012,인제로 110,중개거래
강원도 인제군 인제읍 남북리,833,833,0,인제라온프라이빗,59.91,202209,6,"22,000",9,2020,인제로112번길 22,직거래
강원도 인제군 인제읍 남북리,833,833,0,인제라온프라이빗,84.96,202209,24,"32,000",18,2020,인제로112번길 22,중개거래
강원도 인제군 인제읍 남북리,833,833,0,인제라온프라이빗,59.91,202209,26,"20,800",13,2020,인제로112번길 22,직거래
강원도 인제군 인제읍 덕산리,666,666,0,한양쉐르빌(101동),53.653,202209,5,"8,500",4,2004,내린천로 6760,중개거래
강원도 인제군 인제읍 상동리,Jan.43,43,1,내설악,59.46,202209,30,"7,600",2,2003,인제로228번길 6,직거래
강원도 정선군 고한읍 고한리,440,440,0,파인앤유 아파트,59.7544,202209,13,"15,480",4,2018,고한7길 20,직거래
강원도 정선군 남면 무릉리,530,530,0,멀미주공,39.99,202209,14,"4,050",3,1992,멀미길 33,직거래
강원도 정선군 남면 무릉리,530,530,0,멀미주공,39.6,202209,18,"3,600",2,1992,멀미길 33,직거래
강원도 정선군 사북읍 사북리,435-1,435,1,도사곡주공1,45.72,202209,23,"2,900",3,1984,도사곡길 21,직거래
강원도 정선군 사북읍 사북리,435-5,435,5,도사곡주공2,39.69,202209,8,"4,200",1,1991,도사곡길 21,직거래
강원도 정선군 사북읍 사북리,435-5,435,5,도사곡주공2,39.69,202209,23,"2,900",4,1991,도사곡길 21,직거래
강원도 정선군 사북읍 사북리,435-5,435,5,도사곡주공2,39.69,202209,30,"3,200",5,1991,도사곡길 21,직거래
강원도 정선군 정선읍 북실리,746-6,746,6,미소빌,59.66,202209,20,"6,000",1,1997,정선로 1245-6,직거래
강원도 정선군 정선읍 북실리,746-6,746,6,미소빌,31.58,202209,20,"6,000",18,1997,정선로 1245-6,직거래
강원도 정선군 정선읍 북실리,746-6,746,6,미소빌,49.23,202209,28,"8,700",11,1997,정선로 1245-6,직거래
강원도 정선군 정선읍 북실리,772-2,772,2,북실주공,39.3,202209,21,"7,550",1,1990,정선로 1182,직거래
강원도 정선군 정선읍 북실리,745-1,745,1,현대,59.86,202209,23,"14,000",18,1998,정선로 1245-11,직거래
강원도 철원군 갈말읍 군탄리,1028-97,1028,97,유명,39.78,202209,15,"3,650",11,1998,군탄로8번길 16,직거래
강원도 철원군 갈말읍 지포리,138,138,0,명품ESA,128.837,202209,9,"29,500",6,2008,명성로139번길 13-22,중개거래
강원도 철원군 갈말읍 지포리,138,138,0,명품ESA,128.837,202209,19,"29,000",10,2008,명성로139번길 13-22,중개거래
강원도 철원군 갈말읍 지포리,152-1,152,1,삼호,89.37,202209,13,"7,200",2,1992,명성로125번길 7,직거래
강원도 철원군 동송읍 오덕리,963-1,963,1,세륭,46.62,202209,15,"3,500",3,1992,오덕로30번길 13-13,중개거래
강원도 철원군 동송읍 오덕리,963-1,963,1,세륭,73.26,202209,30,"5,000",2,1992,오덕로30번길 13-13,직거래
강원도 춘천시 근화동,279-8,279,8,신성미소지움,84.97,202209,7,"31,500",14,2007,근화길15번길 26,중개거래
강원도 춘천시 근화동,279-8,279,8,신성미소지움,59.92,202209,28,"23,500",10,2007,근화길15번길 26,중개거래
강원도 춘천시 동내면 거두리,939-1,939,1,부영1차,84.9763,202209,13,"20,000",1,2003,춘천순환로94번길 12,직거래
강원도 춘천시 동내면 거두리,939-1,939,1,부영1차,84.9763,202209,26,"22,800",2,2003,춘천순환로94번길 12,중개거래
강원도 춘천시 동내면 거두리,939-3,939,3,부영2차,84.9763,202209,22,"23,000",1,2003,춘천순환로94번길 12,중개거래
강원도 춘천시 동내면 거두리,939-3,939,3,부영2차,84.9763,202209,27,"23,300",8,2003,춘천순환로94번길 12,중개거래
강원도 춘천시 동내면 거두리,939-2,939,2,부영3차,59.8404,202209,20,"18,300",2,2003,춘천순환로94번길 12,중개거래
강원도 춘천시 동내면 거두리,1038,1038,0,현대성우오스타,84.99,202209,24,"32,700",13,2009,춘천순환로 93,중개거래
강원도 춘천시 동내면 거두리,1038,1038,0,현대성우오스타,84.99,202209,27,"30,000",3,2009,춘천순환로 93,중개거래
강원도 춘천시 동내면 신촌리,401,401,0,산수빌,59.9516,202209,15,"13,650",9,2005,향군길 23,중개거래
강원도 춘천시 동내면 신촌리,401,401,0,산수빌,59.9516,202209,15,"13,650",9,2005,향군길 23,중개거래
강원도 춘천시 동면 만천리,973,973,0,대동다숲아파트,84.6937,202209,5,"24,800",7,2008,후석로326번길 63,중개거래
강원도 춘천시 동면 장학리,988,988,0,장학엘에이치해온채,84.89,202209,6,"33,000",15,2014,소양강로 102,중개거래
강원도 춘천시 동면 장학리,988,988,0,장학엘에이치해온채,84.89,202209,24,"28,700",2,2014,소양강로 102,중개거래
강원도 춘천시 동면 장학리,988,988,0,장학엘에이치해온채,84.93,202209,30,"28,500",1,2014,소양강로 102,중개거래
강원도 춘천시 동면 장학리,985,985,0,춘천장학아이파크,84.9428,202209,26,"31,700",3,2012,만천로 242,중개거래
강원도 춘천시 동면 지내리,971,971,0,그린하이츠,59.94,202209,19,"7,200",14,1995,가산로 95-55,중개거래
강원도 춘천시 사농동,810,810,0,롯데캐슬2단지,84.97,202209,19,"23,500",12,2008,마장길 60,중개거래
강원도 춘천시 사농동,820,820,0,춘천뉴시티코아루,84.9808,202209,1,"26,000",4,2013,영서로 2922,중개거래
강원도 춘천시 사농동,820,820,0,춘천뉴시티코아루,84.9808,202209,2,"28,500",13,2013,영서로 2922,중개거래
강원도 춘천시 사농동,820,820,0,춘천뉴시티코아루,84.9808,202209,5,"21,500",1,2013,영서로 2922,중개거래
강원도 춘천시 사농동,158,158,0,현대,80.934,202209,22,"17,500",4,2002,영서로 2920,중개거래
강원도 춘천시 석사동,722-2,722,2,그랜드,74.82,202209,5,"19,100",7,1998,우석로101번길 20,중개거래
강원도 춘천시 석사동,722-2,722,2,그랜드,74.82,202209,5,"19,100",7,1998,우석로101번길 20,중개거래
강원도 춘천시 석사동,727-4,727,4,두산,59.97,202209,23,"16,500",11,1997,후석로186번길 25,중개거래
강원도 춘천시 석사동,727-4,727,4,두산,59.97,202209,24,"16,350",2,1997,후석로186번길 25,중개거래
강원도 춘천시 석사동,727-4,727,4,두산,59.97,202209,27,"16,700",11,1997,후석로186번길 25,중개거래
강원도 춘천시 석사동,682,682,0,봄내,49.86,202209,1,"10,500",4,1991,석사길 10,중개거래
강원도 춘천시 석사동,283-15,283,15,삼익1,84.73,202209,26,"13,000",15,1990,춘천순환로 42,중개거래
강원도 춘천시 석사동,114-5,114,5,삼익2,73.34,202209,16,"14,600",13,1991,공지로 69-9,중개거래
강원도 춘천시 석사동,114-5,114,5,삼익2,73.34,202209,17,"14,400",7,1991,공지로 69-9,중개거래
강원도 춘천시 석사동,114-5,114,5,삼익2,84.36,202209,20,"18,000",6,1991,공지로 69-9,중개거래
강원도 춘천시 석사동,114-5,114,5,삼익2,84.36,202209,26,"15,500",1,1991,공지로 69-9,중개거래
강원도 춘천시 석사동,115-10,115,10,석사극동,84.96,202209,16,"16,800",10,1992,공지로 43,중개거래
강원도 춘천시 석사동,694-1,694,1,석사근로복지,47.32,202209,23,"13,000",2,1991,효석로67번길 23,중개거래
강원도 춘천시 석사동,721-2,721,2,석사대우,134.34,202209,29,"35,000",11,1998,우석로101번길 86,중개거래
강원도 춘천시 석사동,727-2,727,2,석사부영,59.76,202209,1,"12,000",5,1998,우석로101번길 83,직거래
강원도 춘천시 석사동,727-2,727,2,석사부영,59.76,202209,20,"14,600",2,1998,우석로101번길 83,중개거래
강원도 춘천시 석사동,727-2,727,2,석사부영,59.76,202209,29,"13,500",7,1998,우석로101번길 83,중개거래
강원도 춘천시 석사동,971,971,0,신도브래뉴,84.9618,202209,21,"30,500",8,2007,공지로 69-10,중개거래
강원도 춘천시 석사동,971,971,0,신도브래뉴,84.9618,202209,29,"34,700",6,2007,공지로 69-10,중개거래
강원도 춘천시 석사동,727-6,727,6,청구,59.965,202209,1,"15,500",4,1997,서부대성로 332,중개거래
강원도 춘천시 석사동,727-6,727,6,청구,59.965,202209,3,"15,800",16,1997,서부대성로 332,중개거래
강원도 춘천시 석사동,727-6,727,6,청구,59.4,202209,8,"18,000",1,1997,서부대성로 332,중개거래
강원도 춘천시 석사동,727-6,727,6,청구,59.965,202209,14,"15,300",2,1997,서부대성로 332,중개거래
강원도 춘천시 석사동,820,820,0,퇴계3주공,84.79,202209,26,"23,500",10,1999,퇴계로 220-19,직거래
강원도 춘천시 석사동,822,822,0,퇴계주공4,59.99,202209,20,"17,500",11,1998,퇴계로 242,중개거래
강원도 춘천시 석사동,813,813,0,현대,134.99,202209,17,"30,000",2,1998,퇴계로 220-20,중개거래
강원도 춘천시 석사동,813,813,0,현대,99.931,202209,28,"26,900",11,1998,퇴계로 220-20,중개거래
강원도 춘천시 석사동,873,873,0,현진에버빌2차,84.96,202209,5,"35,000",10,2005,지석로 67,중개거래
강원도 춘천시 석사동,866,866,0,휴먼타운,84.89,202209,8,"24,100",2,2002,지석로 29,중개거래
강원도 춘천시 석사동,866,866,0,휴먼타운,84.89,202209,17,"27,000",13,2002,지석로 29,중개거래
강원도 춘천시 석사동,866,866,0,휴먼타운,84.89,202209,23,"26,600",10,2002,지석로 29,중개거래
강원도 춘천시 소양로2가,183,183,0,e편한세상춘천,84.966,202209,14,"38,500",15,2014,서부대성로 33,중개거래
강원도 춘천시 소양로2가,1,1,0,소양로현대,84.95,202209,6,"19,000",14,1998,모수물길 60,중개거래
강원도 춘천시 소양로2가,1,1,0,소양로현대,114.83,202209,19,"24,500",8,1998,모수물길 60,중개거래
강원도 춘천시 소양로2가,1,1,0,소양로현대,84.95,202209,19,"19,100",6,1998,모수물길 60,중개거래
강원도 춘천시 소양로2가,1,1,0,소양로현대,84.95,202209,22,"16,200",2,1998,모수물길 60,중개거래
강원도 춘천시 신북읍 천전리,1352,1352,0,소양강양우내안애,60.6314,202209,1,"13,000",13,2012,신샘밭로 733,중개거래
강원도 춘천시 신북읍 천전리,1352,1352,0,소양강양우내안애,38.1055,202209,5,"7,900",7,2012,신샘밭로 733,중개거래
강원도 춘천시 신북읍 천전리,1352,1352,0,소양강양우내안애,38.1055,202209,18,"8,000",10,2012,신샘밭로 733,중개거래
강원도 춘천시 신북읍 천전리,1351,1351,0,춘천해강,37.35,202209,19,"6,100",14,1997,상천2길 52,중개거래
강원도 춘천시 온의동,571,571,0,금호3,84.97,202209,29,"19,000",15,1994,영서로 2319,중개거래
강원도 춘천시 온의동,590,590,0,온의롯데캐슬스카이클래스,99.629,202209,5,"54,000",15,2015,방송길 70,중개거래
강원도 춘천시 온의동,590,590,0,온의롯데캐슬스카이클래스,84.796,202209,19,"55,000",3,2015,방송길 70,직거래
강원도 춘천시 온의동,591,591,0,춘천센트럴파크푸르지오,84.8878,202209,1,"55,000",21,2021,스포츠타운길 501,중개거래
강원도 춘천시 요선동,200,200,0,춘천요선동한신휴플러스아파트,84.6937,202209,21,"24,000",2,2007,서부대성로 34,중개거래
강원도 춘천시 요선동,200,200,0,춘천요선동한신휴플러스아파트,84.6937,202209,27,"29,000",9,2007,서부대성로 34,중개거래
강원도 춘천시 우두동,1068-1,1068,1,동부,84.961,202209,2,"18,400",1,1994,충열로 32,중개거래
강원도 춘천시 우두동,1080,1080,0,롯데인벤스,84.93,202209,6,"25,000",11,2006,충열로 29,중개거래
강원도 춘천시 우두동,1080,1080,0,롯데인벤스,73.8,202209,23,"23,500",15,2006,충열로 29,직거래
강원도 춘천시 우두동,1080,1080,0,롯데인벤스,84.93,202209,23,"25,000",3,2006,충열로 29,중개거래
강원도 춘천시 우두동,1068,1068,0,삼성,101.91,202209,5,"18,300",2,1994,충열로 30,중개거래
강원도 춘천시 우두동,1068,1068,0,삼성,101.91,202209,24,"21,400",10,1994,충열로 30,중개거래
강원도 춘천시 우두동,1068,1068,0,삼성,101.91,202209,24,"21,400",10,1994,충열로 30,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.71,202209,2,"32,700",20,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.71,202209,4,"33,800",22,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,74.62,202209,4,"31,600",16,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.71,202209,17,"32,000",15,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.71,202209,17,"34,000",10,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.71,202209,21,"32,500",13,2020,우두1길 129,중개거래
강원도 춘천시 우두동,1085,1085,0,춘천파크에뷰,84.83,202209,29,"36,500",21,2020,우두1길 129,중개거래
강원도 춘천시 조양동,34,34,0,미도파,84.84,202209,13,"21,000",10,1996,금강로 68-9,직거래
강원도 춘천시 죽림동,188,188,0,경남아너스빌,65.73,202209,14,"13,500",12,2002,약사고개길 19,중개거래
강원도 춘천시 칠전동,529-1,529,1,대우,59.89,202209,16,"13,800",15,1999,옛경춘로 492,중개거래
강원도 춘천시 칠전동,529-1,529,1,대우,59.88,202209,30,"13,500",14,1999,옛경춘로 492,직거래
강원도 춘천시 칠전동,529-2,529,2,춘천칠전사랑으로부영,59.9381,202209,17,"16,900",10,2012,칠전서길 45,중개거래
강원도 춘천시 칠전동,585-1,585,1,칠전2차대우,84.9508,202209,10,"20,000",6,2002,칠전서길 15-2,중개거래
강원도 춘천시 칠전동,585-1,585,1,칠전2차대우,71.7847,202209,21,"16,700",14,2002,칠전서길 15-2,중개거래
강원도 춘천시 퇴계동,945,945,0,금호2차,116.94,202209,1,"20,000",6,1993,안마산로 214,직거래
강원도 춘천시 퇴계동,1031,1031,0,뜨란채,84.94,202209,29,"28,000",8,2006,승지골길16번길 47,중개거래
강원도 춘천시 퇴계동,1040,1040,0,쌍용스윗닷홈,84.879,202209,21,"36,250",10,2005,춘주로 176-22,중개거래
강원도 춘천시 퇴계동,1240,1240,0,이편한세상춘천한숲시티,59.8597,202209,24,"37,500",10,2019,안마산로 133,중개거래
강원도 춘천시 퇴계동,1139,1139,0,일성2,84.92,202209,14,"19,600",1,1996,우묵길78번길 25,중개거래
강원도 춘천시 퇴계동,1043,1043,0,중앙하이츠빌1단지,84.8905,202209,4,"31,300",11,2006,영서로2141번길 33,중개거래
강원도 춘천시 퇴계동,1133,1133,0,중앙하이츠빌3단지,84.9859,202209,5,"31,000",3,2008,지석로 10,중개거래
강원도 춘천시 퇴계동,983,983,0,퇴계2주공,59.99,202209,15,"17,200",14,1999,퇴계로 168,중개거래
강원도 춘천시 퇴계동,983,983,0,퇴계2주공,49.62,202209,21,"15,350",8,1999,퇴계로 168,직거래
강원도 춘천시 퇴계동,983,983,0,퇴계2주공,59.99,202209,27,"18,200",17,1999,퇴계로 168,중개거래
강원도 춘천시 퇴계동,430,430,0,퇴계우성,101.91,202209,24,"25,500",16,1999,국사봉길 7,중개거래
강원도 춘천시 퇴계동,1052,1052,0,퇴계이안,84.9877,202209,2,"29,000",2,2007,영서로 2169,직거래
강원도 춘천시 퇴계동,1052,1052,0,퇴계이안,84.9877,202209,5,"33,300",16,2007,영서로 2169,중개거래
강원도 춘천시 퇴계동,1052,1052,0,퇴계이안,84.9877,202209,19,"33,000",18,2007,영서로 2169,직거래
강원도 춘천시 퇴계동,1015,1015,0,퇴계주공6차,59.83,202209,1,"21,700",14,2002,지석로 64,중개거래
강원도 춘천시 퇴계동,944,944,0,한주,59.82,202209,6,"16,600",9,1993,안마산로 217,중개거래
강원도 춘천시 퇴계동,944,944,0,한주,59.82,202209,6,"16,300",10,1993,안마산로 217,중개거래
강원도 춘천시 퇴계동,944,944,0,한주,134.43,202209,28,"20,500",12,1993,안마산로 217,중개거래
강원도 춘천시 퇴계동,916-2,916,2,현대,59.94,202209,26,"15,950",12,1994,춘주로 162,중개거래
강원도 춘천시 퇴계동,916,916,0,현대2,43.2,202209,3,"11,900",8,1994,행촌로 14,중개거래
강원도 춘천시 퇴계동,916,916,0,현대2,43.2,202209,24,"12,300",5,1994,행촌로 14,중개거래
강원도 춘천시 퇴계동,916-1,916,1,현진,59.949,202209,1,"15,200",12,1994,춘주로 150,중개거래
강원도 춘천시 퇴계동,916-1,916,1,현진,59.949,202209,3,"14,300",11,1994,춘주로 150,중개거래
강원도 춘천시 효자동,701,701,0,내안愛양우,84.984,202209,17,"24,900",13,2005,공지로317번길 11,중개거래
강원도 춘천시 효자동,821,821,0,동보,28.38,202209,3,"5,350",2,1999,공지로200번길 13,중개거래
강원도 춘천시 효자동,821,821,0,동보,37.2,202209,19,"6,900",2,1999,공지로200번길 13,중개거래
강원도 춘천시 효자동,822,822,0,현진에버빌3차,84.954,202209,1,"40,000",13,2014,춘천로 120,직거래
강원도 춘천시 효자동,822,822,0,현진에버빌3차,84.954,202209,16,"35,700",11,2014,춘천로 120,중개거래
강원도 춘천시 효자동,822,822,0,현진에버빌3차,84.954,202209,24,"36,700",18,2014,춘천로 120,중개거래
강원도 춘천시 후평동,575-4,575,4,동산,82.77,202209,26,"13,500",8,1990,후석로441번길 7,중개거래
강원도 춘천시 후평동,542-3,542,3,봉의,41.571,202209,22,"7,800",1,1975,후석로441번길 40,중개거래
강원도 춘천시 후평동,899,899,0,석사2,58.14,202209,15,"10,000",15,1994,후석로228번길 24,중개거래
강원도 춘천시 후평동,899,899,0,석사2,58.14,202209,17,"12,500",4,1994,후석로228번길 24,중개거래
강원도 춘천시 후평동,899,899,0,석사2,58.14,202209,17,"13,900",12,1994,후석로228번길 24,중개거래
강원도 춘천시 후평동,899,899,0,석사2,51.66,202209,30,"11,000",7,1994,후석로228번길 24,중개거래
강원도 춘천시 후평동,845-1,845,1,세경3차아파트,49.68,202209,7,"8,500",13,1991,삭주로 125,중개거래
강원도 춘천시 후평동,845-1,845,1,세경3차아파트,49.68,202209,15,"7,500",9,1991,삭주로 125,중개거래
강원도 춘천시 후평동,845-1,845,1,세경3차아파트,49.68,202209,24,"7,700",7,1991,삭주로 125,중개거래
